time,obj_func,obj_func_max_value
30,obj_1,205000.0
30,obj_2,185000.0
30,obj_3,315000.0
30,obj_4,315000.0
60,obj_1,190000.0
60,obj_2,185000.0
60,obj_3,315000.0
60,obj_4,315000.0
300,obj_1,180000.0
300,obj_2,185000.0
300,obj_3,315000.0
300,obj_4,315000.0
600,obj_1,180000.0
600,obj_2,185000.0
600,obj_3,285000.0
600,obj_4,285000.0
900,obj_1,180000.0
900,obj_2,185000.0
900,obj_3,315000.0
900,obj_4,315000.0
1800,obj_1,180000.0
1800,obj_2,185000.0
1800,obj_3,285000.0
1800,obj_4,285000.0
2700,obj_1,180000.0
2700,obj_2,185000.0
2700,obj_3,285000.0
2700,obj_4,285000.0
3600,obj_1,180000.0
3600,obj_2,185000.0
3600,obj_3,285000.0
3600,obj_4,285000.0
4500,obj_1,180000.0
4500,obj_2,185000.0
4500,obj_3,285000.0
4500,obj_4,285000.0
